School,FCPS_School ID,Overall Classroom Score,Presence Weighted,Assembly Score Weighted,Extended Learning Score Weighted,Community Score Weighted,DF_Score,Student Support Score,Curriculum Support,PA_Score,Admin,Suppl,Gym,Support,Avg Class SF,Building SF,SS_Score,FS_Score
FORESTDALE ES,165,0.7041260416666666,0.7851747311827957,0.5270833333333333,0.2767857142857143,0.7374999999999999,0.5818155156596688,0.375,0.8777777777777779,0.6263888888888889,0.75,0.5,0.5,0.75,0.75,0.25,0.5833333333333334,0.5971792459606303
JACKSON MS,81,0.7052594961240309,0.7451747311827958,0.4552083333333333,0.4140714285714286,0.8124999999999999,0.5974995733601509,0.6428571428571429,0.7333333333333333,0.6880952380952381,0.5,0.8,1,0.5,0.5,0.75,0.6749999999999999,0.653531604
MOUNT VERNON HS,220,0.7687972789115645,0.8978225806451612,0.59375,0.28785714285714287,0.8958333333333333,0.6553269000073146,0.6458333333333333,0.55625,0.6010416666666667,1,1,1,0.8,0.5,1,0.8833333333333333,0.713233967
KENT GARDENS ES,36,0.8600935869565216,0.8981481481481481,0.6041666666666667,0.30225,0.8341666666666665,0.6790444596528896,0.71875,0.5833333333333334,0.6510416666666667,0.75,0.8,0.5,0.75,0.75,0.75,0.7166666666666667,0.682250931
GLEN FOREST ES,104,0.6436073114869626,0.8086290322580645,0.4166666666666667,0.2767857142857143,0.8066666666666665,0.5622910970708044,0.75,0.5047619047619047,0.6273809523809524,0.25,0.75,1,0.5,0.75,0.5,0.625,0.6048906831505853
ALDRIN ES,305,0.7103980796335446,0.9105913978494624,0.8374999999999999,0.44111904761904774,0.9238888888888888,0.7381088529407484,0.75,0.9199999999999999,0.835,1,1,1,1,1,1,1,0.8577029509802493
HERNDON MS,281,0.7846091666666666,0.8570775729646697,0.6180555555555555,0.3026190476190476,0.4499999999999999,0.6371914095124309,0.65625,0.5787142857142856,0.6174821428571429,1,1,1,0.75,0.5,1,0.875,0.7098911841231913
PARKLAWN ES,102,0.6928401616499442,0.7683487654320986,0.6041666666666666,0.6971011606396944,0.6,0.6916570565307564,0.6875,0.6483333333333333,0.6679166666666667,0.75,0.5,0.5,0.5,0.75,0.25,0.5416666666666666,0.6337467966213634
FAIRFAX VILLA ES,173,0.6273458914728681,0.9322580645161289,0.7729166666666667,0.5575714285714285,0.6625,0.724603789,0.4375,0.745,0.59125,0.75,0.8,0.5,1,0.25,1,0.7166666666666667,0.6775068186094143
GLASGOW MS,101,0.8665478713768116,0.9536728395061729,0.5513888888888889,0.4594642857142857,0.6616666666666666,0.7124145671450725,0.90625,0.8888888888888888,0.8975694444444444,0.1,0.75,1,0.5,0.5,0.5,0.5583333333333333,0.7227724483076163
LONGFELLOW MS,31,0.9059159822866345,0.8893981481481481,0.9409722222222221,0.7864166666666668,0.4499999999999999,0.8627611647879764,0.78125,0.7,0.740625,0.25,1,1,0.75,0.25,0.75,0.6666666666666666,0.7566842771515477
